hsa  Homo sapiens (human)
ptr  Pan troglodytes (chimpanzee)
pon  Pongo abelii (Sumatran orangutan)
mcc  Macaca mulatta (rhesus monkey)
mmu  Mus musculus (mouse)
rno  Rattus norvegicus (rat)
cfa  Canis familiaris (dog)
aml  Ailuropoda melanoleuca (giant panda)
bta  Bos taurus (cow)
ssc  Sus scrofa (pig)
ecb  Equus caballus (horse)
mdo  Monodelphis domestica (opossum)
oaa  Ornithorhynchus anatinus (platypus)
gga  Gallus gallus (chicken)
mgp  Meleagris gallopavo (turkey)
tgu  Taeniopygia guttata (zebra finch)
acs  Anolis carolinensis (green anole)
xla  Xenopus laevis (African clawed frog)
xtr  Xenopus tropicalis (western clawed frog)    
dre  Danio rerio (zebrafish)
bfo  Branchiostoma floridae (Florida lancelet)
cin  Ciona intestinalis (sea squirt)
spu  Strongylocentrotus purpuratus (purple sea urchin)
dme  Drosophila melanogaster (fruit fly)
dpo  Drosophila pseudoobscura pseudoobscura
dan  Drosophila ananassae
der  Drosophila erecta
dpe  Drosophila persimilis
dse  Drosophila sechellia
dsi  Drosophila simulans
dwi  Drosophila willistoni
dya  Drosophila yakuba
dgr  Drosophila grimshawi
dmo  Drosophila mojavensis
dvi  Drosophila virilis
aga  Anopheles gambiae (mosquito)
aag  Aedes aegypti (yellow fever mosquito)
cqu  Culex quinquefasciatus (southern house mosquito)
ame  Apis mellifera (honey bee)
nvi  Nasonia vitripennis (jewel wasp)
tca  Tribolium castaneum (red flour beetle)
api  Acyrthosiphon pisum (pea aphid)
phu  Pediculus humanus corporis (human body louse)
isc  Ixodes scapularis (black-legged tick)
cel  Caenorhabditis elegans (nematode)
cbr  Caenorhabditis briggsae
bmy  Brugia malayi (filaria)
tsp  Trichinella spiralis
smm  Schistosoma mansoni
nve  Nematostella vectensis (sea anemone)
hmg  Hydra magnipapillata
tad  Trichoplax adhaerens
ath  Arabidopsis thaliana (thale cress)
aly  Arabidopsis lyrata (lyrate rockcress)
gmx  Glycine max (soybean)
mtr  Medicago truncatula (barrel medic)
pop  Populus trichocarpa (black cottonwood)
rcu  Ricinus communis (castor bean)
vvi  Vitis vinifera (wine grape)
osa  Oryza sativa japonica (Japanese rice)
bdi  Brachypodium distachyon
sbi  Sorghum bicolor (sorghum)
zma  Zea mays (maize)
smo  Selaginella moellendorffii
ppp  Physcomitrella patens subsp. patens
